generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen
44,650,12,39,290,103,86
44,700,13,33,290,103,86
44,750,11,25,290,103,86
44,800,12,15,290,103,86
44,850,15,8,290,103,86
44,900,15,5,290,103,86
44,950,15,4,290,103,86
44,1000,16,3,290,103,86
45,0,100,50,300,103,86
45,50,96,53,273,100,53
45,100,100,60,255,106,60
45,150,97,71,244,106,71
45,200,75,78,247,106,78
45,250,62,73,258,106,84
45,300,48,80,281,106,84
45,350,52,78,290,106,84
45,400,46,74,288,106,84
45,450,45,69,290,106,84
45,500,38,63,290,106,84
45,550,30,57,290,106,84
45,600,20,57,289,106,84
45,650,14,50,290,106,84
45,700,13,42,290,106,84
45,750,13,37,290,106,84
45,800,12,31,290,106,84
45,850,12,26,290,106,84
45,900,9,22,290,106,84
45,950,8,17,290,106,84
45,1000,7,15,290,106,84
46,0,100,50,300,106,84
46,50,88,52,277,100,52
46,100,91,59,270,100,59
46,150,86,67,273,100,67
46,200,84,73,275,100,73
46,250,84,61,276,100,73
46,300,78,65,282,100,73
46,350,66,63,290,100,73
46,400,52,63,290,100,73
46,450,40,58,290,100,73
46,500,27,60,290,100,73
46,550,21,59,290,100,73
46,600,18,57,290,100,73
46,650,15,50,290,100,73
46,700,10,42,290,100,73
46,750,8,34,290,100,73
46,800,7,26,290,100,73
46,850,4,18,290,100,73
46,900,1,15,290,100,73
