generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen,BestPreyFit,BestPredFit
7,100,102,62,250,102,62,70,60
7,150,111,75,250,117,75,100,80
7,200,117,93,250,119,93,100,80
7,250,97,100,250,119,100,130,90
7,300,105,100,250,119,100,190,110
7,350,101,100,250,119,100,190,130
7,400,97,100,250,119,100,220,140
7,450,92,99,250,119,100,240,140
7,500,80,100,250,119,100,250,150
7,550,60,100,250,119,100,250,150
7,600,58,99,250,119,100,270,170
7,650,55,100,250,119,100,280,170
7,700,53,99,250,119,100,310,180
7,750,49,100,250,119,100,280,190
7,800,43,99,250,119,100,310,210
7,850,37,99,250,119,100,330,210
7,900,28,100,250,119,100,340,230
7,950,30,99,250,119,100,340,230
7,1000,24,93,250,119,100,370,290
7,1050,19,90,250,119,100,390,290
7,1100,11,86,250,119,100,400,290
7,1150,5,83,250,119,100,360,290
7,1200,4,80,250,119,100,340,290
7,1250,2,72,250,119,100,340,290
7,1300,0,64,250,119,100,0,290
7,1350,0,58,250,119,100,0,290
7,1400,0,47,250,119,100,0,290
7,1450,0,43,250,119,100,0,290
7,1500,0,35,250,119,100,0,290
7,1550,0,23,250,119,100,0,290
7,1600,0,15,250,119,100,0,290
7,1650,0,11,250,119,100,0,290
7,1700,0,5,250,119,100,0,290
7,1750,0,4,250,119,100,0,220
7,1800,0,3,250,119,100,0,170
7,1850,0,2,250,119,100,0,170
7,1900,0,0,250,119,100,0,0
7,1950,0,0,250,119,100,0,0
7,2000,0,0,250,119,100,0,0
7,2050,0,0,250,119,100,0,0
7,2100,0,0,250,119,100,0,0
7,2150,0,0,250,119,100,0,0
7,2200,0,0,250,119,100,0,0
7,2250,0,0,250,119,100,0,0
7,2300,0,0,250,119,100,0,0
7,2350,0,0,250,119,100,0,0
7,2400,0,0,250,119,100,0,0
7,2450,0,0,250,119,100,0,0
7,2500,0,0,250,119,100,0,0
7,2550,0,0,250,119,100,0,0
7,2600,0,0,250,119,100,0,0
7,2650,0,0,250,119,100,0,0
7,2700,0,0,250,119,100,0,0
7,2750,0,0,250,119,100,0,0
7,2800,0,0,250,119,100,0,0
7,2850,0,0,250,119,100,0,0
7,2900,0,0,250,119,100,0,0
7,2950,0,0,250,119,100,0,0
7,3000,0,0,250,119,100,0,0
8,0,100,50,250,100,50
8,0,100,50,250,100,50
8,50,91,52,250,100,52,40,30
8,100,101,56,250,101,56,40,40
8,150,111,66,250,114,66,70,60
8,200,109,78,250,114,78,100,80
8,250,97,92,250,114,92,120,100
8,300,90,100,250,114,100,120,110
8,350,77,100,250,114,100,120,110
8,400,59,100,250,114,100,130,120
8,450,44,100,250,114,100,160,140
8,500,36,100,250,114,100,160,140
8,550,31,100,250,114,100,190,150
8,600,24,98,250,114,100,190,160
